n,repetition,theta_NO_s,theta_BH_s,t_NO_s,t_BH_s,theta_plus_t_NO_s,theta_plus_t_BH_s,theta_NO_numba_s,theta_BH_numba_s
2,18,5.800000508315861e-06,1.7700003809295595e-05,1.9299994164612144e-05,1.649999467190355e-05,2.5099994672928005e-05,3.4199998481199145e-05,2.40000372286886e-06,3.000001015607268e-06
2,19,5.400004738476127e-06,1.679999695625156e-05,1.7600003047846258e-05,1.6599995433352888e-05,2.3000007786322385e-05,3.339999238960445e-05,2.3000029614195228e-06,2.90000025415793e-06
2,20,5.299996701069176e-06,1.6999998479150236e-05,3.5899996873922646e-05,1.6399993910454214e-05,4.119999357499182e-05,3.339999238960445e-05,2.7999994927085936e-06,3.400004061404616e-06
2,21,5.699999746866524e-06,1.769999653333798e-05,1.7600003047846258e-05,1.6199999663513154e-05,2.3300002794712785e-05,3.3899996196851134e-05,2.7999994927085936e-06,3.1000017770566046e-06
2,22,5.500005499925464e-06,1.720000000204891e-05,2.179999864893034e-05,1.6000005416572094e-05,2.7300004148855805e-05,3.3200005418621004e-05,2.800006768666208e-06,3.1000017770566046e-06
2,23,5.200003215577453e-06,1.7099999240599573e-05,1.68999977177009e-05,1.6099998902063817e-05,2.2100000933278352e-05,3.319999814266339e-05,2.3000029614195228e-06,2.7999994927085936e-06
2,24,5.199995939619839e-06,1.6800004232209176e-05,1.630000042496249e-05,1.6099998902063817e-05,2.149999636458233e-05,3.290000313427299e-05,2.299995685461909e-06,2.7999994927085936e-06
2,25,5.000001692678779e-06,1.670000347075984e-05,3.779999678954482e-05,1.7099999240599573e-05,4.27999984822236e-05,3.380000271135941e-05,2.299995685461909e-06,2.90000025415793e-06
2,26,5.30000397702679e-06,1.700000575510785e-05,3.5099998058285564e-05,1.6999998479150236e-05,4.040000203531236e-05,3.4000004234258085e-05,2.40000372286886e-06,3.000001015607268e-06
2,27,5.599998985417187e-06,1.7499995010439306e-05,1.6199999663513154e-05,1.599999814061448e-05,2.179999864893034e-05,3.3499993151053786e-05,2.3000029614195228e-06,2.90000025415793e-06
2,28,5.200003215577453e-06,1.7799997294787318e-05,3.580000338843092e-05,1.68999977177009e-05,4.1000006604008377e-05,3.4699995012488216e-05,2.3000029614195228e-06,2.7999994927085936e-06
2,29,5.599998985417187e-06,1.7300000763498247e-05,1.6999998479150236e-05,1.5700003132224083e-05,2.2599997464567423e-05,3.300000389572233e-05,2.199994924012572e-06,3.000001015607268e-06
2,30,5.099995178170502e-06,1.6600002709310502e-05,3.460000152699649e-05,1.630000042496249e-05,3.9699996705167e-05,3.290000313427299e-05,2.3999964469112456e-06,2.90000025415793e-06
2,31,5.49999822396785e-06,1.7099999240599573e-05,1.679999695625156e-05,1.6099998902063817e-05,2.229999518021941e-05,3.319999814266339e-05,2.2000021999701858e-06,3.000001015607268e-06
2,32,5.299996701069176e-06,1.68999977177009e-05,3.5200006095692515e-05,1.6299993149004877e-05,4.050000279676169e-05,3.3199990866705775e-05,2.3000029614195228e-06,3.000001015607268e-06
2,33,5.299996701069176e-06,1.7400001524947584e-05,3.5400000342633575e-05,1.6400001186411828e-05,4.069999704370275e-05,3.380000271135941e-05,2.299995685461909e-06,2.90000025415793e-06
2,34,5.399997462518513e-06,1.7400001524947584e-05,1.720000000204891e-05,1.599999814061448e-05,2.2599997464567423e-05,3.3399999665562063e-05,2.3000029614195228e-06,2.90000025415793e-06
2,35,5.000001692678779e-06,1.6599995433352888e-05,3.599999763537198e-05,1.6200006939470768e-05,4.099999932805076e-05,3.2800002372823656e-05,2.40000372286886e-06,2.90000025415793e-06
2,36,5.299996701069176e-06,1.720000000204891e-05,3.480000304989517e-05,1.6099998902063817e-05,4.009999975096434e-05,3.3299998904112726e-05,2.2000021999701858e-06,2.90000025415793e-06
2,37,5.100002454128116e-06,1.7099999240599573e-05,3.440000000409782e-05,1.5700003132224083e-05,3.9500002458225936e-05,3.2800002372823656e-05,2.3000029614195228e-06,2.999993739649653e-06
2,38,5.30000397702679e-06,1.68999977177009e-05,1.6099998902063817e-05,1.5600002370774746e-05,2.1400002879090607e-05,3.2500000088475645e-05,2.199994924012572e-06,4.000001354143024e-06
2,39,5.000001692678779e-06,1.68999977177009e-05,3.3399999665562063e-05,1.599999814061448e-05,3.840000135824084e-05,3.289999585831538e-05,2.3999964469112456e-06,3.000001015607268e-06
2,40,5.299996701069176e-06,1.7099999240599573e-05,3.390000347280875e-05,1.5899997379165143e-05,3.9200000173877925e-05,3.2999996619764715e-05,2.40000372286886e-06,3.000001015607268e-06
